name,price_elasticity,mean_price,mean_quantity,intercept,slope,rsquared,p_value
BRAVEN BRV-HD Wireless Bluetooth Speaker [28 Hour Playtime][Water Resistant] Built-In 8800 mAh Power Bank Charger - Black,9.511337690016424,110.685652173913,0.17391304347826086,-1.4802326417419875,0.014944535743631871,0.45777472646282913,0.00039266932928120626
Braven BRV-BLADE Wireless Portable Bluetooth Speaker [22 Hour Playtime][Waterproof] 4000 mAh Power Bank Charger - Black,9.288493229166662,85.20739130434784,0.17391304347826086,-1.4414770833333321,0.01895833333333332,0.4540021929824559,0.00042379879932054044
Details About Logitech Ue Roll 2 Wireless Portable Bluetooth Waterproof Speaker,5.532391865079364,81.7291304347826,0.34782608695652173,-1.5764841269841265,0.023544973544973542,0.37870529737999603,0.0017745321388051543
Harman Kardon One Portable Bluetooth Speaker Black,2.811419624546458,166.72913043478255,0.8260869565217391,-1.4963901246253362,0.013929641899353213,0.13851209231000983,0.08032740271521242
JBL Flip 3 Splashproof Portable Bluetooth Speaker (Teal),7.047832423973197,83.46652173913043,0.5217391304347826,-3.15539082989906,0.04405514790500662,0.1867547909102245,0.03946242139367085
SRS-XB2 Portable Bluetooth Wireless Speaker (Blue),4.516991130820394,93.4682608695652,0.4782608695652174,2.638560975609754,-0.02311265969802553,0.10266560892649701,0.13607034744891472
SRS-XB2 Portable Bluetooth Wireless Speaker (Red),5.0482608183958,94.3378260869565,0.6086956521739131,3.681550063371358,-0.03257287705956909,0.1350198291017628,0.08454671105853344
SRS-XB40 Bluetooth Speaker (Black),4.597691322751322,239.12043478260864,0.9130434782608695,5.110935555555554,-0.017555555555555557,0.13813634351482984,0.08077108029451
Sony Ultra-Portable Bluetooth Speaker,2.046594800463653,63.46826086956521,1.0,3.0465948004636534,-0.032245956836120776,0.11375656994964822,0.11552268947174456
Tough Portable Bluetooth Speaker (Black and Silver),2.233864983629156,139.1639130434782,0.30434782608695654,-0.37552412545235214,0.0048854041013268994,0.20845844821644,0.028525226142370932
